config_id,hidden_dims,dropout,learning_rate,batch_size,best_val_auprc,test_precision,test_recall,test_f1,test_auprc,test_mcc,final_train_loss
0,"(1024, 512)",0.3,0.001,256,0.9780638894668028,0.9460067491563554,0.977906976744186,0.9616923956546598,0.9752806953273969,0.9215738661870696,0.0008716772039608461
1,"(256, 128)",0.4,0.0005,256,0.9728114056523058,0.9556313993174061,0.9767441860465116,0.9660724554341575,0.9747713972337727,0.9307079546579936,0.004208151567986028
2,"(256, 128)",0.2,0.001,128,0.976342967869622,0.95372460496614,0.9825581395348837,0.967926689576174,0.9775109895075893,0.9344415610083031,0.0008841420188724037
3,"(1024, 512)",0.5,0.002,128,0.9792261411893718,0.9415656008820287,0.9930232558139535,0.9666100735710242,0.9698846597815715,0.931876479759907,0.011429941102647313
4,"(512, 256)",0.3,0.002,256,0.9770832671113554,0.9617612977983777,0.9651162790697675,0.9634358676726639,0.9681833261710352,0.9257849778541799,0.007566390942601073
5,"(512, 256)",0.3,0.0001,512,0.9739707629355521,0.9565714285714285,0.9732558139534884,0.9648414985590776,0.9740541738998519,0.9282672528382517,0.04026076221919578
6,"(512, 256)",0.2,0.002,128,0.9817358200058699,0.9498327759197325,0.9906976744186047,0.9698349459305635,0.9730326020282858,0.9384207458001046,0.004847151985288494
7,"(256, 128)",0.4,0.002,512,0.975274562443567,0.9575242718446602,0.9174418604651163,0.9370546318289785,0.9745248977842449,0.8759821087018578,0.007580459416520012
8,"(1024, 512)",0.5,0.001,512,0.9745571565899609,0.9451287793952967,0.9813953488372092,0.9629207073588134,0.9688510312501546,0.924087164577277,0.0004806046857518832
9,"(256, 128)",0.4,0.0001,512,0.9717978082196039,0.9417808219178082,0.9593023255813954,0.9504608294930875,0.9745981369785086,0.8988223617309794,0.11861327063778172
10,"(1024, 512)",0.4,0.0005,512,0.9761942436639723,0.9545970488081725,0.977906976744186,0.9661114302125214,0.9733528189216846,0.9307575744642618,0.0021697931831864557
11,"(1024, 512, 256)",0.5,0.001,512,0.9743939861881272,0.9583815028901734,0.963953488372093,0.9611594202898551,0.9741152434103413,0.9210803350092854,0.007073311686880239
12,"(512, 256, 128)",0.5,0.001,256,0.9804027090256006,0.9529675251959686,0.9895348837209302,0.970907016543069,0.9746431614612086,0.940600728859503,0.00635280789833309
