config_id,hidden_dims,dropout,learning_rate,batch_size,best_val_auprc,test_precision,test_recall,test_f1,test_auprc,test_mcc,final_train_loss
0,"(1024, 512)",0.3,0.001,256,0.7405562325065058,0.6180868739615476,0.7056910569105691,0.6589902568644819,0.6868208673830265,0.3751663967294676,0.027973372861742972
1,"(256, 128)",0.4,0.0005,256,0.7437733483004065,0.6169515335986888,0.7140921409214093,0.6619771385504333,0.6854290261533483,0.37797837548936414,0.06690530406104193
2,"(256, 128)",0.2,0.001,128,0.7442355403927711,0.5889694041867954,0.7929539295392954,0.6759066759066759,0.6876847579917044,0.3789079628934713,0.040972930039796567
3,"(1024, 512)",0.5,0.002,128,0.7397219163833486,0.5809859154929577,0.8048780487804879,0.6748466257668713,0.6790371220792213,0.3726908759820255,0.07291739967134264
4,"(512, 256)",0.3,0.002,256,0.744128263064213,0.6140270456108182,0.7260162601626017,0.6653421085309822,0.6900580703844831,0.3801517927696237,0.045434779756599
5,"(512, 256)",0.3,0.0001,512,0.743654210674143,0.6318157755426151,0.6468834688346884,0.6392608462774505,0.6874926255135868,0.36343903027296864,0.1093717005796137
6,"(512, 256)",0.2,0.002,128,0.746457273090126,0.6245994577273848,0.6867208672086721,0.654188718213502,0.6918506058233368,0.3742167438628081,0.035136022862667836
7,"(256, 128)",0.4,0.002,512,0.7396497313738368,0.6048102383053839,0.7428184281842819,0.6667477499391875,0.6801605015643732,0.37575805977081966,0.08590651036495656
8,"(1024, 512)",0.5,0.001,512,0.7375641683181076,0.5784200385356455,0.813550135501355,0.6761261261261261,0.6840502185012157,0.3733923226987604,0.04391491104873408
9,"(256, 128)",0.4,0.0001,512,0.7441739710842559,0.6210112911143839,0.6856368563685636,0.6517259144770736,0.684667307513132,0.3688329904476008,0.3889248584751534
10,"(1024, 512)",0.4,0.0005,512,0.7383531904126414,0.5944338219672828,0.7582655826558266,0.6664284863641776,0.6854898060122739,0.3684109525105705,0.029198983189674604
