ptm,model,mcc,f1,recall,accuracy
acet_k,CNN+GRU,0.501944,0.738904,0.773514,0.751553
acet_k,MultiClassifier,0.456,0.7474,,
acet_k,baseline_mlp,0.37824148572270755,0.702600309970725,0.7193229901269393,
acet_k,ptmgpt2 (heldout),0.47021778512935025,0.7464691698243197,0.7641043723554302,
met_r,CNN+GRU,0.487541,0.576192,0.621517,0.857526
met_r,MultiClassifier,0.3843,0.5146,,
met_r,baseline_mlp,,,,
met_r,ptmgpt2 (heldout),0.4161661511145206,0.5316315205327414,0.4897750511247444,
phos_y,CNN+GRU,0.444938,0.534024,0.627967,0.846861
phos_y,MultiClassifier,0.3661,0.4744,,
phos_y,baseline_mlp,0.32538284526017164,0.4601769911504425,0.6360078277886497,
phos_y,ptmgpt2 (heldout),0.34001586910823867,0.41832429174201324,0.3395303326810176,
sumo_k,CNN+GRU,0.471753,0.73649,1.0,0.735678
sumo_k,MultiClassifier,0.4588,0.7106,,
sumo_k,baseline_mlp,0.3723462265227302,0.6566747110377239,0.7005420054200542,
sumo_k,ptmgpt2 (heldout),0.47957386423314613,0.7168961201501878,0.7761517615176152,
