config_id,hidden_dims,dropout,learning_rate,batch_size,best_val_auprc,test_precision,test_recall,test_f1,test_auprc,test_mcc,final_train_loss
0,"(1024, 512)",0.3,0.001,256,0.761918471319168,0.7149193548387097,0.6251763046544428,0.6670428893905191,0.7441568646501392,0.3676009659915666,0.025492734955899012
1,"(256, 128)",0.4,0.0005,256,0.7607141379395173,0.6950156849076333,0.7031029619181947,0.6990359333917616,0.7446300872382661,0.38188534814942054,0.06048960413948949
2,"(256, 128)",0.2,0.001,128,0.7519891206212245,0.7068775285031261,0.6777150916784203,0.691989198919892,0.7461772380714202,0.3850348749804899,0.03719836993568382
3,"(1024, 512)",0.5,0.002,128,0.7631452941746382,0.7113036628593935,0.6368124118476728,0.6719999999999999,0.7512198380046673,0.36893171261373947,0.06344108656508687
4,"(512, 256)",0.3,0.002,256,0.7595146356449438,0.6731942215088282,0.7394217207334274,0.7047555032767603,0.7423471975364206,0.36818584387069564,0.038254898000196574
5,"(512, 256)",0.3,0.0001,512,0.7591741702088375,0.7049677664012135,0.6555007052186178,0.6793349168646081,0.7556486969908,0.3701968514909362,0.09486113371802311
6,"(512, 256)",0.2,0.002,128,0.7524133270587542,0.6828875281985176,0.747179125528914,0.713588146152551,0.7484828791336505,0.3883727099384423,0.03425053984449923
7,"(256, 128)",0.4,0.002,512,0.7498475274152825,0.6944245889921372,0.6851198871650211,0.6897408590699325,0.73551189689885,0.3710595021391978,0.07361389765990715
8,"(1024, 512)",0.5,0.001,512,0.7655154130465084,0.7045712126936154,0.6576163610719323,0.6802845157760351,0.7521934665872119,0.3707780982536533,0.04404363609558227
9,"(256, 128)",0.4,0.0001,512,0.7542524379042003,0.7020679985979671,0.7062764456981664,0.7041659342590965,0.7508044113055019,0.3941771418145502,0.38496362958468644
10,"(1024, 512)",0.4,0.0005,512,0.7650508727256945,0.6971677559912854,0.6770098730606487,0.6869409660107335,0.7486157959609523,0.3706690329029418,0.025633555133918337
11,"(1024, 512, 256)",0.5,0.001,512,0.7594258382190915,0.7015517863587153,0.685472496473907,0.6934189406099519,0.7493664455569993,0.38168625587313465,0.043773335313387944
12,"(512, 256, 128)",0.5,0.001,256,0.7582166931385735,0.69,0.7055712270803949,0.6976987447698745,0.7448752775371801,0.37569631272137854,0.06585771252809487
13,"(256, 128)",0.3,0.002,256,0.7486950821666776,0.68107202680067,0.7168547249647391,0.6985054114413332,0.7382398455808452,0.36817208992620926,0.05619663789666492
14,"(1024, 512)",0.2,0.001,256,0.7564232704844306,0.6811037373384562,0.6875881523272215,0.6843305843130374,0.7332409544040053,0.3523824481557215,0.021632634572400323
15,"(512, 256, 128)",0.3,0.0001,128,0.751633638756801,0.691817215727949,0.6886459802538787,0.6902279554691642,0.7414499362489966,0.36911436218777227,0.03248856113303775
16,"(256, 128)",0.2,0.001,512,0.7508449944274835,0.6992202005198663,0.6639633286318759,0.6811358292638814,0.7447987075499597,0.36659914011446026,0.035121281065192876
17,"(256, 128)",0.2,0.001,256,0.7525541335217691,0.6819826338639653,0.6646685472496474,0.6732142857142859,0.7277198921913687,0.3417974962147476,0.03283766447222365
18,"(256, 128)",0.3,0.002,512,0.7460983118029205,0.6865935620799434,0.6844146685472496,0.6855023838954617,0.7281161185496033,0.3590164887745369,0.05378282877306143
19,"(512, 256)",0.2,0.001,256,0.7571702197324088,0.6965174129353234,0.6417489421720733,0.66801247935401,0.7427949329125904,0.35108407240416006,0.028415944363596148
20,"(512, 256)",0.2,0.002,512,0.7525808954227207,0.6852226720647774,0.7161495063469676,0.700344827586207,0.7449073199851479,0.37426096786105106,0.029040422929706527
