ptm,best_checkpoint,data_type,mcc,f1,auroc,precision,recall,n_rows,file_path
acet_k,checkpoint-97500,heldout,0.47021778512935025,0.7464691698243197,0.8041518807297394,0.7296296296296296,0.7641043723554302,5559,/home/bp2983/projects/ptmgpt2/results/acet_k/checkpoint-97500heldout_predictions.csv
acet_k,checkpoint-97000,minds,0.3255107129325893,0.7027310924369747,0.710500098128958,0.6154553817847286,0.8188494492044064,1634,/home/bp2983/projects/ptmgpt2/results/acet_k/checkpoint-97000minds_predictions.csv
acet_k,checkpoint-96000,mtprompt,0.2758544134039488,0.6982658959537572,0.6747330775054168,0.5741444866920152,0.8908554572271387,1356,/home/bp2983/projects/ptmgpt2/results/acet_k/checkpoint-96000mtprompt_predictions.csv
met_r,checkpoint-74000,heldout,0.4161661511145206,0.5316315205327414,0.7745248536073656,0.5813106796116505,0.4897750511247444,4449,/home/bp2983/projects/ptmgpt2/results/met_r/checkpoint-74000heldout_predictions.csv
met_r,checkpoint-74000,minds,0.5304385025791404,0.75,0.8209090909090909,0.7959183673469388,0.7090909090909091,220,/home/bp2983/projects/ptmgpt2/results/met_r/checkpoint-74000minds_predictions.csv
met_r,checkpoint-77000,mtprompt,0.44678580889385067,0.7036144578313253,0.7325198091767163,0.7525773195876289,0.6606334841628959,442,/home/bp2983/projects/ptmgpt2/results/met_r/checkpoint-77000mtprompt_predictions.csv
phos_st,checkpoint-71500,heldout,0.5598741378302111,0.6733958630970868,0.8824895772281409,0.7220594112161982,0.6308775605214153,61202,/home/bp2983/projects/ptmgpt2/results/phos_st/checkpoint-71500heldout_predictions.csv
phos_st,checkpoint-197500,minds,0.2384749403987625,0.5825457223517859,0.6707779013568475,0.6444866920152091,0.5314669652855543,8880,/home/bp2983/projects/ptmgpt2/results/phos_st/checkpoint-197500minds_predictions.csv
phos_st,checkpoint-69500,mtprompt,0.2072534003311849,0.5161673094037378,0.6470386914464032,0.6470806991446635,0.4293116210214656,8106,/home/bp2983/projects/ptmgpt2/results/phos_st/checkpoint-69500mtprompt_predictions.csv
phos_y,checkpoint-87500,heldout,0.34001586910823867,0.41832429174201324,0.746651709143419,0.5447409733124019,0.3395303326810176,5814,/home/bp2983/projects/ptmgpt2/results/phos_y/checkpoint-87500heldout_predictions.csv
phos_y,checkpoint-90000,minds,0.4690969081077257,0.7250755287009063,0.7775963338833648,0.7523510971786834,0.6997084548104956,684,/home/bp2983/projects/ptmgpt2/results/phos_y/checkpoint-90000minds_predictions.csv
phos_y,checkpoint-87500,mtprompt,0.31298431857438064,0.6394557823129252,0.7070144862352654,0.6714285714285714,0.6103896103896104,462,/home/bp2983/projects/ptmgpt2/results/phos_y/checkpoint-87500mtprompt_predictions.csv
sumo_k,checkpoint-107500,heldout,0.47957386423314613,0.7168961201501878,0.8119538607568818,0.666046511627907,0.7761517615176152,8615,/home/bp2983/projects/ptmgpt2/results/sumo_k/checkpoint-107500heldout_predictions.csv
sumo_k,checkpoint-107500,minds,0.1770844008302866,0.676923076923077,0.8680555555555555,0.5365853658536586,0.9166666666666666,48,/home/bp2983/projects/ptmgpt2/results/sumo_k/checkpoint-107500minds_predictions.csv
sumo_k,checkpoint-110000,mtprompt,0.4084023173663302,0.7410832232496698,0.7341292123618499,0.6226415094339622,0.9151712887438825,1226,/home/bp2983/projects/ptmgpt2/results/sumo_k/checkpoint-110000mtprompt_predictions.csv
